county,constituency,town,land_use,size_acres,price_per_acre,distance_to_nairobi_km,latitude,longitude,proximity_to_tarmac_km,proximity_to_school_km,proximity_to_hospital_km,plot_grade,has_road_access,has_water,has_electricity,year
Nairobi,Westlands,Westlands,Residential,5.0,118582050,0,-1.27,36.8,0.2072,0.2438,0.67,A,1,0,0,2025
Nairobi,Westlands,Westlands,Commercial,0.25,562657716,0,-1.27,36.8,0.2248,0.2408,0.8979,A,0,0,1,2024
Nairobi,Westlands,Westlands,Agricultural,10.0,23300671,0,-1.27,36.8,0.2083,0.3369,0.8735,A,0,1,1,2023
Nairobi,Westlands,Westlands,Residential,2.0,146617840,0,-1.27,36.8,0.1754,0.2483,0.8516,A,1,0,0,2025
Nairobi,Westlands,Westlands,Commercial,0.5,580956178,0,-1.27,36.8,0.1884,0.3204,0.8646,A,1,1,1,2025
Nairobi,Westlands,Westlands,Agricultural,1.0,60562404,0,-1.27,36.8,0.2046,0.3222,0.9097,A,0,1,0,2025
Nairobi,Westlands,Westlands,Residential,0.125,215353237,0,-1.27,36.8,0.1852,0.3187,0.7666,A,0,0,0,2025
Nairobi,Westlands,Westlands,Commercial,1.0,411718685,0,-1.27,36.8,0.189,0.3597,0.6843,A,0,1,1,2024
Nairobi,Westlands,Westlands,Agricultural,10.0,24848376,0,-1.27,36.8,0.1905,0.3595,0.8093,A,0,0,1,2024
Nairobi,Westlands,Westlands,Residential,2.0,190850395,0,-1.27,36.8,0.1689,0.2922,0.7852,A,0,1,1,2024
Nairobi,Westlands,Westlands,Commercial,0.5,570484534,0,-1.27,36.8,0.1759,0.2849,0.6917,A,1,1,0,2025
Nairobi,Westlands,Westlands,Agricultural,20.0,41461243,0,-1.27,36.8,0.1792,0.2689,0.8216,A,1,1,0,2025
Nairobi,Westlands,Westlands,Residential,0.125,287020732,0,-1.27,36.8,0.204,0.2718,0.9192,A,1,0,1,2023
Nairobi,Westlands,Westlands,Commercial,1.0,630751447,0,-1.27,36.8,0.1899,0.348,0.7845,A,1,1,1,2024
Nairobi,Westlands,Westlands,Agricultural,2.0,38795873,0,-1.27,36.8,0.1783,0.3487,0.9151,A,1,1,0,2023
Nairobi,Westlands,Parklands,Residential,0.125,280259805,0,-1.26,36.81,0.2692,0.4946,0.9628,A,0,1,1,2025
Nairobi,Westlands,Parklands,Commercial,0.125,521846108,0,-1.26,36.81,0.2518,0.4805,0.9357,A,1,1,1,2025
Nairobi,Westlands,Parklands,Agricultural,1.0,43478596,0,-1.26,36.81,0.2932,0.5723,1.0201,A,0,1,1,2024
Nairobi,Westlands,Parklands,Residential,0.125,259594989,0,-1.26,36.81,0.2978,0.5729,1.161,A,1,0,0,2024
Nairobi,Westlands,Parklands,Commercial,0.25,438615420,0,-1.26,36.81,0.3595,0.5112,1.0874,A,1,0,1,2024
Nairobi,Westlands,Parklands,Agricultural,2.0,25978909,0,-1.26,36.81,0.2972,0.5839,1.0125,A,0,0,1,2024
Nairobi,Westlands,Parklands,Residential,0.125,265271103,0,-1.26,36.81,0.3468,0.4492,1.0378,A,0,0,1,2024
Nairobi,Westlands,Parklands,Commercial,0.125,441496287,0,-1.26,36.81,0.2875,0.5343,0.92,A,1,1,1,2025
Nairobi,Westlands,Parklands,Agricultural,5.0,46524092,0,-1.26,36.81,0.3007,0.4265,0.9396,A,1,0,1,2023
Nairobi,Westlands,Spring Valley,Residential,0.125,280767316,0,-1.28,36.79,0.5308,0.6425,1.3522,A,1,0,1,2025
Nairobi,Westlands,Spring Valley,Commercial,0.5,261068198,0,-1.28,36.79,0.4564,0.7074,1.1246,A,0,1,0,2025
Nairobi,Westlands,Spring Valley,Agricultural,5.0,42027250,0,-1.28,36.79,0.4667,0.6819,1.4303,A,0,1,0,2025
Nairobi,Westlands,Spring Valley,Residential,0.25,201809833,0,-1.28,36.79,0.5091,0.9071,1.2396,A,1,1,0,2025
Nairobi,Westlands,Spring Valley,Commercial,0.25,302572057,0,-1.28,36.79,0.5364,0.8534,1.1298,A,0,0,1,2023
Nairobi,Westlands,Spring Valley,Agricultural,20.0,45667302,0,-1.28,36.79,0.5622,0.9221,0.9719,A,1,1,0,2025
Nairobi,Westlands,Spring Valley,Residential,5.0,157240349,0,-1.28,36.79,0.5403,0.7624,0.9786,A,1,1,1,2024
Nairobi,Westlands,Spring Valley,Commercial,1.0,242334795,0,-1.28,36.79,0.4386,0.745,1.3749,A,1,1,1,2024
Nairobi,Westlands,Loresho,Residential,0.5,87971794,0,-1.31,36.78,0.7236,1.0322,1.7901,B,1,1,1,2023
Nairobi,Westlands,Loresho,Commercial,0.125,182806690,0,-1.31,36.78,0.8245,0.9019,1.6253,B,1,1,1,2025
Nairobi,Westlands,Loresho,Agricultural,1.0,57831256,0,-1.31,36.78,0.9436,1.1683,1.5739,B,1,1,1,2024
Nairobi,Westlands,Loresho,Residential,5.0,79184773,0,-1.31,36.78,0.6807,0.9682,1.7642,B,1,0,1,2024
Nairobi,Westlands,Loresho,Commercial,0.25,163922965,0,-1.31,36.78,0.8495,0.986,1.4653,B,1,1,0,2024
Nairobi,Westlands,Loresho,Agricultural,2.0,43747452,0,-1.31,36.78,0.8382,0.8374,1.7712,B,1,1,1,2024
Nairobi,Westlands,Loresho,Residential,0.25,100857159,0,-1.31,36.78,0.6633,0.9658,1.5779,B,0,0,0,2024
Nairobi,Westlands,Loresho,Commercial,0.25,195588080,0,-1.31,36.78,0.9233,1.1114,1.3313,B,1,0,0,2025
Nairobi,Westlands,Muthaiga,Residential,5.0,190921092,0,-1.25,36.83,0.1195,0.3115,0.59,A,0,0,1,2025
Nairobi,Westlands,Muthaiga,Commercial,1.0,742716283,0,-1.25,36.83,0.099,0.2711,0.4494,A,1,1,1,2025
Nairobi,Westlands,Muthaiga,Agricultural,5.0,36718264,0,-1.25,36.83,0.0928,0.3048,0.4277,A,1,1,0,2024
Nairobi,Westlands,Muthaiga,Residential,0.25,289632328,0,-1.25,36.83,0.1133,0.2867,0.554,A,0,0,1,2024
Nairobi,Westlands,Muthaiga,Commercial,0.125,848042778,0,-1.25,36.83,0.1181,0.2903,0.5495,A,1,0,0,2025
Nairobi,Westlands,Muthaiga,Agricultural,20.0,30814790,0,-1.25,36.83,0.1119,0.3269,0.5681,A,1,1,0,2024
Nairobi,Westlands,Muthaiga,Residential,0.25,486354319,0,-1.25,36.83,0.1147,0.2618,0.452,A,1,1,1,2023
Nairobi,Westlands,Muthaiga,Commercial,0.5,659967374,0,-1.25,36.83,0.0833,0.2423,0.5079,A,1,1,1,2025
Nairobi,Westlands,Muthaiga,Agricultural,5.0,26460435,0,-1.25,36.83,0.1049,0.2686,0.4947,A,0,1,0,2024
Nairobi,Westlands,Kileleshwa,Residential,0.125,249315840,0,-1.27,36.82,0.1692,0.3383,0.8301,A,0,1,1,2025
Nairobi,Westlands,Kileleshwa,Commercial,0.125,540602667,0,-1.27,36.82,0.2074,0.3397,0.628,A,1,1,1,2025
Nairobi,Westlands,Kileleshwa,Agricultural,5.0,56145623,0,-1.27,36.82,0.1896,0.3007,0.6555,A,1,0,1,2024
Nairobi,Westlands,Kileleshwa,Residential,1.0,245765860,0,-1.27,36.82,0.2187,0.3559,0.6356,A,0,1,1,2025
Nairobi,Westlands,Kileleshwa,Commercial,1.0,351797109,0,-1.27,36.82,0.1961,0.3301,0.7196,A,1,1,1,2025
Nairobi,Westlands,Kileleshwa,Agricultural,10.0,24743434,0,-1.27,36.82,0.2077,0.3456,0.7156,A,1,0,1,2024
Nairobi,Westlands,Kileleshwa,Residential,2.0,195617838,0,-1.27,36.82,0.1993,0.3352,0.5861,A,0,1,1,2025
Nairobi,Westlands,Kileleshwa,Commercial,0.25,477641178,0,-1.27,36.82,0.204,0.2822,0.687,A,0,1,1,2024
Nairobi,Westlands,Kileleshwa,Agricultural,5.0,33083720,0,-1.27,36.82,0.1773,0.2981,0.7629,A,0,0,0,2025
Nairobi,Westlands,Nyari,Residential,2.0,156629295,0,-1.26,36.78,0.4253,0.6546,1.2327,A,1,1,0,2024
Nairobi,Westlands,Nyari,Commercial,0.5,413844864,0,-1.26,36.78,0.4881,0.699,1.2308,A,0,1,1,2025
Nairobi,Westlands,Nyari,Agricultural,10.0,24144314,0,-1.26,36.78,0.5898,0.6673,1.3489,A,0,1,1,2023
Nairobi,Westlands,Nyari,Residential,2.0,174729200,0,-1.26,36.78,0.572,0.9568,1.3832,A,1,1,0,2024
Nairobi,Westlands,Nyari,Commercial,0.125,432624188,0,-1.26,36.78,0.4348,0.664,1.2016,A,1,1,0,2025
Nairobi,Westlands,Nyari,Agricultural,10.0,28557853,0,-1.26,36.78,0.4467,0.7247,1.6747,A,1,0,0,2025
Nairobi,Westlands,Nyari,Residential,2.0,215635767,0,-1.26,36.78,0.4143,0.6931,1.3846,A,1,1,1,2025
Nairobi,Westlands,Nyari,Commercial,0.5,311340582,0,-1.26,36.78,0.5196,0.9246,1.6407,A,1,0,1,2025
Nairobi,Westlands,Ridgeways,Residential,2.0,82152263,0,-1.25,36.79,0.8551,0.9078,1.469,B,0,1,1,2025
Nairobi,Westlands,Ridgeways,Commercial,0.25,224545997,0,-1.25,36.79,0.6692,0.9392,1.68,B,1,1,0,2025
Nairobi,Westlands,Ridgeways,Agricultural,1.0,59489343,0,-1.25,36.79,0.7855,0.9258,1.6728,B,1,1,0,2025
Nairobi,Westlands,Ridgeways,Residential,1.0,113788350,0,-1.25,36.79,0.8392,0.9994,1.7583,B,1,0,1,2023
Nairobi,Westlands,Ridgeways,Commercial,0.125,216068197,0,-1.25,36.79,0.8348,0.8957,1.554,B,1,1,1,2023
Nairobi,Westlands,Ridgeways,Agricultural,20.0,14253385,0,-1.25,36.79,0.6893,1.1731,1.6501,B,1,0,1,2025
Nairobi,Westlands,Ridgeways,Residential,5.0,78218696,0,-1.25,36.79,0.8026,1.1517,2.0621,B,1,1,0,2024
Nairobi,Westlands,Ridgeways,Commercial,0.5,142354908,0,-1.25,36.79,0.908,1.032,1.9152,B,1,0,1,2023
Nairobi,Westlands,Rosslyn,Residential,0.25,256773934,0,-1.24,36.78,0.7154,0.7164,1.4298,A,1,0,1,2025
Nairobi,Westlands,Rosslyn,Commercial,1.0,255039222,0,-1.24,36.78,0.7154,0.7985,1.2222,A,1,1,1,2025
Nairobi,Westlands,Rosslyn,Agricultural,20.0,28508431,0,-1.24,36.78,0.5146,0.9187,1.782,A,1,0,1,2025
Nairobi,Westlands,Rosslyn,Residential,0.125,287943181,0,-1.24,36.78,0.6862,0.7616,1.39,A,1,0,1,2025
Nairobi,Westlands,Rosslyn,Commercial,1.0,333802675,0,-1.24,36.78,0.5842,0.6715,1.5802,A,0,0,1,2025
Nairobi,Westlands,Rosslyn,Agricultural,1.0,57555510,0,-1.24,36.78,0.5149,0.81,1.5396,A,1,1,0,2024
Nairobi,Westlands,Rosslyn,Residential,0.25,197168874,0,-1.24,36.78,0.5907,0.7213,1.3532,A,0,1,1,2025
Nairobi,Westlands,Rosslyn,Commercial,0.125,389875745,0,-1.24,36.78,0.5518,0.9478,1.6142,A,1,0,1,2025
Nairobi,Westlands,Gigiri,Residential,1.0,221874517,0,-1.25,36.8,0.2394,0.2754,0.7147,A,0,0,1,2025
Nairobi,Westlands,Gigiri,Commercial,1.0,374747952,0,-1.25,36.8,0.2323,0.2743,0.6717,A,1,1,1,2025
Nairobi,Westlands,Gigiri,Agricultural,20.0,25488112,0,-1.25,36.8,0.1709,0.2517,0.6306,A,0,0,0,2025
Nairobi,Westlands,Gigiri,Residential,0.125,294227230,0,-1.25,36.8,0.1741,0.2559,0.6095,A,1,1,1,2024
Nairobi,Westlands,Gigiri,Commercial,0.5,490080168,0,-1.25,36.8,0.2197,0.2806,0.5076,A,1,1,0,2024
Nairobi,Westlands,Gigiri,Agricultural,1.0,58938812,0,-1.25,36.8,0.1893,0.3349,0.4833,A,1,1,1,2025
Nairobi,Westlands,Gigiri,Residential,2.0,155887805,0,-1.25,36.8,0.214,0.2966,0.6287,A,1,1,0,2025
Nairobi,Westlands,Gigiri,Commercial,0.5,499231222,0,-1.25,36.8,0.1712,0.3536,0.553,A,0,0,1,2024
Nairobi,Westlands,Runda,Residential,1.0,149908322,0,-1.24,36.77,0.8129,1.2419,2.1813,A,0,1,1,2025
